"reportedTimestamp","eventDate","eventTime","duration","witnesses","weather","firstName","lastName","latitude","longitude","sighting","physicalEvidence","contact","researchOutcome","shape"
"2009-09-14T04:08:11.873Z","2009-09-13","23:56",21,1,"snow","Devon","Blanda","33.2486111",-111.6336111,"Y","N","N","explained","disk"
"1983-11-24T23:25:55.499Z","1983-11-23","14:23",77,1,"fog","Cooper","Littel","29.369722",47.978333,"Y","N","N","explained","circle"
"2009-05-24T17:38:30.661Z","2009-05-21","15:48",98,1,"rain","Moises","Fisher","30.2947222",-82.9841667,"Y","N","N","probable","triangle"
"1975-08-21T15:07:53.327Z","1975-08-20","15:32",22,1,"partly cloudy","Annabell","Hand","45.2630556",-122.6913889,"Y","N","N","explained","circle"
"2016-07-25T19:25:28.122Z","2016-07-18","13:06",29,1,"stormy","Joesph","Toy","31.8911111",-85.1455556,"Y","N","N","explained","circle"
"1985-10-08T16:25:31.839Z","1985-10-03","18:18",86,1,"rain","Harmony","Smitham","32.7252778",-97.3205556,"Y","N","N","explained","circle"
"2008-03-11T07:05:50.818Z","2008-03-08","22:50",63,1,"partly cloudy","Verna","Shields","38.5816667",-121.4933333,"Y","Y","N","probable","triangle"
"1973-03-21T05:47:48.148Z","1973-03-16","02:38",9,1,"clear","Winfield","Bergstrom","42.3136111",-122.9658333,"Y","N","N","explained","disk"
"1983-09-19T15:55:08.621Z","1983-09-16","13:25",9,1,"clear","Cristobal","Walter","23.838805",78.737807,"Y","N","N","explained","disk"
"1975-10-22T05:17:10.192Z","1975-10-19","15:57",7,1,"rain","Adelbert","Morar","39.2013889",-85.9213889,"Y","N","N","explained","disk"
"1982-09-03T22:52:13.049Z","1982-08-30","03:38",58,1,"partly cloudy","Chance","Runolfsson","36.8688889",-94.3677778,"Y","N","N","explained","disk"
"1977-10-21T10:47:49.676Z","1977-10-20","11:10",53,1,"fog","Allen","Walker","41.5775000",-71.5380556,"Y","N","N","explained","circle"
"1977-03-30T02:51:35.442Z","1977-03-30","02:38",32,1,"fog","Elda","Fadel","44.7630556",-85.6205556,"Y","N","N","explained","circle"
"1997-12-26T12:13:57.538Z","1997-12-23","19:54",90,1,"clear","Jaclyn","Feil","53.8",-1.583333,"Y","N","N","probable","triangle"
"1996-08-13T10:00:42.722Z","1996-08-12","14:09",59,1,"fog","Stacey","Hettinger","38.3566667",-121.9866667,"Y","N","N","explained","disk"
"2000-06-24T05:32:53.482Z","2000-06-17","09:35",1,1,"fog","Ubaldo","Rutherford","52.318362",1.273321,"Y","N","N","explained","circle"
"1978-12-12T03:30:39.406Z","1978-12-12","00:17",83,1,"fog","Myrtie","Lueilwitz","47.1855556",-122.2916667,"Y","Y","Y","explained","square"
"1979-08-16T22:40:45.112Z","1979-08-16","11:35",8,1,"fog","Piper","Schroeder","30.1586111",-85.6602778,"Y","N","N","explained","circle"
"1979-03-13T11:28:52.703Z","1979-03-12","19:38",66,1,"fog","Breanne","Kreiger","38.8002778",-90.6263889,"Y","N","N","explained","circle"
"1988-01-13T09:32:55.487Z","1988-01-12","03:15",48,1,"fog","Mafalda","Jacobson","40.9866667",-75.195,"Y","N","N","explained","circle"
"1996-03-31T00:00:11.184Z","1996-03-29","08:12",7,1,"partly cloudy","Jordy","Schultz","26.149798",-97.913611,"Y","N","N","explained","disk"
"2005-07-09T14:25:01.845Z","2005-07-09","06:19",70,1,"rain","Bertram","Jerde","42.9097222",-73.8955556,"Y","N","N","explained","circle"
"2006-01-04T03:35:13.656Z","2005-12-31","08:35",41,1,"rain","Penelope","Volkman","36.0725000",-79.7922222,"Y","Y","Y","explained","disk"
"1993-02-09T20:57:21.599Z","1993-02-09","09:04",77,1,"clear","Seth","Corkery","43.6136111",-116.2025,"Y","Y","Y","explained","circle"
"1983-12-16T23:07:44.085Z","1983-12-15","20:20",20,1,"mostly cloudy","Ernestina","McCullough","43.2166667",-123.3405556,"Y","N","N","explained","circle"
"2005-09-19T20:24:41.422Z","2005-09-13","03:03",73,1,"partly cloudy","Felton","Donnelly","33.4222222",-111.8219444,"Y","N","N","unexplained","square"
"2004-09-04T07:37:18.911Z","2004-09-02","21:40",8,1,"mostly cloudy","Dolly","Huel","32.5436111",-83.5961111,"Y","N","N","unexplained","light"
"2016-03-04T05:00:00.439Z","2016-03-04","01:54",5,1,"fog","Evelyn","Jacobi","37.2152778",-93.2980556,"Y","N","N","unexplained","light"
"1993-06-20T06:43:27.357Z","1993-06-17","11:58",60,1,"fog","Darian","Beatty","29.0255556",-80.9272222,"Y","N","N","explained","circle"
"2001-03-28T03:46:50.224Z","2001-03-25","23:24",29,1,"partly cloudy","Haylie","Connelly","41.4847222",-81.9222222,"Y","N","N","explained","square"
"2013-01-03T01:00:47.480Z","2012-12-31","07:21",83,1,"fog","Clay","Streich","37.6941667",-122.0852778,"Y","N","N","explained","circle"
"1986-10-11T00:28:23.951Z","1986-10-09","19:26",38,1,"mostly cloudy","Armando","Crist","44.0536111",-71.1288889,"Y","N","N","explained","circle"
"1983-06-26T19:24:27.988Z","1983-06-25","07:56",76,1,"partly cloudy","Beaulah","Mertz","39.4733333",-82.7394444,"Y","N","N","unexplained","light"
"1981-08-31T01:17:21.566Z","1981-08-29","12:45",23,1,"stormy","Allie","Hermiston","46.2113889",-119.1361111,"Y","N","N","explained","disk"
