"reportedTimestamp","eventDate","eventTime","shape","duration","witnesses","weather","firstName","lastName","latitude","longitude","sighting","physicalEvidence","contact","researchOutcome"
"1977-04-04T04:02:23.340Z","1977-03-31","23:46","circle",4,1,"rain","Ila","Bashirian","47.3294444",-122.5788889,"Y","N","N","explained"
"1982-11-22T02:06:32.019Z","1982-11-15","22:04","disk",4,1,"partly cloudy","Eriberto","Runolfsson","52.664913",-1.034894,"Y","Y","N","explained"
"1992-12-07T19:06:52.482Z","1992-12-07","19:01","circle",49,1,"clear","Miller","Watsica","38.9516667",-92.3338889,"Y","N","N","explained"
"2011-02-24T21:06:34.898Z","2011-02-21","20:56","disk",13,1,"partly cloudy","Clifton","Bechtelar","41.4969444",-71.3677778,"Y","N","N","explained"
"1991-03-09T16:18:45.501Z","1991-03-09","11:42","circle",17,1,"mostly cloudy","Jayda","Ebert","47.6063889",-122.3308333,"Y","N","N","explained"
"2011-08-14T23:27:37.734Z","2011-08-13","02:55","sphere",65,1,"partly cloudy","Kellen","Smitham","33.9163889",-118.3516667,"Y","N","N","explained"
"1991-02-06T11:02:39.883Z","1991-02-05","14:04","triangle",80,1,"partly cloudy","Hilton","Purdy","33.6694444",-117.8222222,"Y","N","N","probable"
"1973-01-02T11:51:04.056Z","1972-12-31","22:56","light",33,1,"rain","Zita","Johns","44.716667",-75.516667,"Y","N","N","unexplained"
"2004-12-09T08:37:11.338Z","2004-12-07","22:07","pyramid",22,1,"partly cloudy","Alexane","Schneider","40.8666667",-124.0816667,"Y","N","N","explained"
"1994-11-21T13:36:50.772Z","1994-11-15","17:20","disk",72,1,"fog","Oswaldo","Schumm","47.1302778",-119.2769444,"Y","N","N","explained"
"1992-04-09T16:48:13.941Z","1992-04-04","10:57","light",39,1,"mostly cloudy","Michael","Kohler","51.783333",-0.783333,"Y","N","N","unexplained"
"2014-03-16T18:37:36.905Z","2014-03-12","00:16","circle",66,1,"fog","Osbaldo","Turcotte","41.36144",-81.812912,"Y","N","N","explained"
"1972-01-20T08:58:03.027Z","1972-01-20","01:24","light",13,1,"snow","Bettie","Frami","38.2541667",-85.7594444,"Y","N","N","unexplained"
"2001-05-07T21:16:19.439Z","2001-05-07","15:51","sphere",79,1,"mostly cloudy","Jeromy","Dickens","39.063658",-77.298777,"Y","N","N","probable"
